Symbol	Description
AA.P	Alcoa Inc Pf 3.75
AADR	BNY Mellon Focused Growth ADR ETF
AAMC	Altisource Asset
AAU	Almaden Minerals
ACCU	Global Opportunities ETF Accuvest
ACIM	SPDR MSCI ACWI IMI
ACU	Acme United Corporation.
ACWV	All Country World Min Vol MSCI Ishares
ACY	Aerocentury Corp
ADGE	American Dg Energy Inc
ADK	Adcare Health Systems Inc
ADK-A	Adcare Health Systems Inc 10.87
ADZ	DB Agriculture Short ETN Powershares
AE	Adams Resources & Energy
AFK	Africa Index ETF Market Vectors
AGA	DB Agriculture Dble Short ETN Powershares
AGF	DB Agriculture Long ETN Powershares
AGG	Aggregate Bond Ishares
AGLS	Global Long/Short ETF Accuvest
AGOL	Physical Asian Gold
AGQ	Ultra Silver Proshares
AGZ	Agency Bond Ishares
AIA	S&P Asia 50 Index Ishares
AINC	Ashford Inc. Common Stock
AIRI	Air Industries Group Inc
AKG	Asanko Gold Inc
ALD	Asia Local Debt ETF Wisdomtree
ALFA	Alphaclone Alternative Alpha Et
ALN	American Lorain Corp
ALTL	RBS US Large Cap Alternator Exc
ALTS	Proshares Morningstar Alternati
ALTV	Alteva D/B/A
AMCO	Armco Metals Holdings Inc. Com
AMJ	Alerian MLP Index ETN JP Morgan
AMLP	Alps Alerian MLP ETF
AMPE	Ampio Pharmaceutical
AMPS	Utilities Sector Bond Ishares
AMS	American Shared Hospital Services
AMU	Etracs Alerian MLP Index ETN
AMZA	Infracap MLP ETF
AMZG	American Eagle Energy Corp
AND	G-X FTSE Andean 40 ETF
ANGL	Fallen Angel HY Bond ETF Market Vectors
ANV	Allied Nevada Gold Corp
AOA	S&P Aggressive Allocation Ishares
AOK	S&P Conservative Allocation Ishares
AOM	S&P Moderate Allocation Ishares
AOR	S&P Growth Allocation Ishares
API	Advanced Photonix
APP	American Apparel Inc
APT	Alpha Pro Tech
APTS	Preferred Apartment Communities
ARGT	G-X FTSE Argentina 20 ETF
ARKG	Ark Genomic Revolution Multi-Se
ARKK	Ark Innovation ETF
ARKQ	Ark Industrial Innovation ETF
ARKW	Ark Web X.0 ETF
ASEA	G-X FTSE Asean 40 ETF
ASHR	DB X-Trackers Harvest Csi 300 C
ASHS	DB X-Trackers Harvest Csi 500 C
ASM	Avino Silver & Gold
AST	Asterias Biotherapeutics Inc.
ATL	Anooraq Resources Corp
ATMP	Barclays ETN Plus Select MLP
ATNM	Actinium Pharmaceuticals Inc.
AUMN	Golden Minerals Co.
AUNZ	Australia & NZ Debt Wisdomtree
AUSE	Australia Dividend Wisdomtree
AVL	Avalon Rare Metals
AWX	Avalon Holdings Corp
AXJL	Asia Pacific Ex-Japan Wisdomtree
AXJV	MSCI Asia Ex Japan Mini Ishares
AXN	China Aoxing Pharmaceutical Company
AXU	Alexco Resource Corp
AXX	Alderon Iron Ore Corp
AYT	GEMS Asia 8 ETN Ipath
AZIA	Global X Central Asia & Mongoli
BAA	Banro Corp
BAB	Build America Bond Powershares
BABS	SPDR Build Amer Bd Barclays Capital
BAL	DJ-UBS Cotton TR Sub-Idx ETN Ipath
BAR	Direxion Daily Gold Bull 3X Sha
BARL	S&P 500 Crude Oil ETN Morgan Stanley
BARS	Direxion Daily Gold Bear 3X Sha
BBH	Biotech ETF Market Vectors
BBRC	Egshares Beyond Brics ETF
BCHP	Egshares Blue Chip ETF
BCM	Broad Commodity Pure Beta ETN Ipath
BCV	Bancroft Convertible Fund
BDCL	2X Wells Fargo Bus Dv Cm ETN UBS E-Tracs
BDCS	Wells Fargo Bus Dev Comp ETN UBS E-Tracs
BDD	DB Base Metals Dble Long ETN Powershares
BDG	DB Base Metals Long ETN Powershares
BDL	Flanigan's Enterprises
BDR	Blonder Tongue Laboratories
BFOR	Barron's 400
BFY	Blackrock New York Muni Trust II
BGI	Birks Group Inc. Common Stock
BGSF	Bg Staffing
BHB	Bar Harbor Bankshares
BHV	Blackrock Virginia Muni Trust
BIK	SPDR S&P BRIC 40
BIL	SPDR 1-3 Month T-Bill Barclays Capital
BIR-A	Berkshire Rlty 9.00A
BIV	Interm-Term Bond ETF Vanguard
BIZD	Market Vectors Bdc Income ETF
BJK	Gaming ETF Market Vectors
BKF	BRIC Index MSCI Ishares
BKJ	Bancorp of New Jersey Inc
BKLN	Senior Loan Portfolio Powershares
BLE	Blackrock Muni Income Trust II
BLJ	Blackrock New Jersey Muni Trust
BLNG	Precious Metals Pure Beta ETN Ipath
BLV	Long-Term Bond Index ETF Vanguard
BND	Total Bond Market ETF Vanguard
BNO	US Brent Oil
BOIL	Ultra DJ-UBS Natural Gas Proshares
BOM	DB Base Metals Dble Short ETN Powershares
BOND	Total Return ETF Pimco
BONE	Bacterin Intl Hldgs
BOS	DB Base Metals Short ETN Powershares
BPS	Blackrock Pennsylvania Strategic Muni
BQY	S&P Quality Rankings Glbl Equ Mngd TR
BRAF	G-X Brazil Financials ETF
BRAQ	G-X Brazil Consumer ETF
BRAZ	G-X Brazil Midcap ETF
BRF	Brazil Smallcap ETF Market Vectors
BRG	Bluerock Residential Growth Rei
BRN	Barnwell Industries
BRXX	Brazil Infrastructure Egshares
BRZU	Direxion Daily Brazil Bull 3X S
BSCE	2014 Corp Bond Bulletshares Guggenheim
BSCF	2015 Corp Bond Bulletshares Guggenheim
BSCG	2016 Corp Bond Bulletshares Guggenheim
BSCH	2017 Corp Bond Bulletshares Guggenheim
BSCI	2018 Corp Bond Bulletshares Guggenheim
BSCJ	2019 Corp Bond Bulletshares Guggenheim
BSCK	2020 Corp Bond Bulletshares Guggenheim
BSCL	Guggenheim Bulletshares 2021 Co
BSCM	Guggenheim Bulletshares 2022 Co
BSCN	Guggenheim Bulletshares 2023 Co
BSCO	Guggenheim Bulletshares 2024 Co
BSJE	2014 HY Crp Bond Bulletshares Guggenheim
BSJF	2015 HY Crp Bond Bulletshares Guggenheim
BSJG	2016 HY C Bd ETF Bulletshares Guggenheim
BSJH	2017 HY C Bd ETF Bulletshares Guggenheim
BSJI	2018 HY C Bd ETF Bulletshares Guggenheim
BSJJ	Guggenheim Bulletshares 2019 Hi
BSJK	Guggenheim Bulletshares 2020 Hi
BSJL	Guggenheim Bulletshares 2021 Hi
BSJM	Guggenheim Bulletshares 2022 Hi
BSV	Short-Term Bond ETF Vanguard
BTAL	US Anti-Beta Fund Market Neutral Quantshares
BTG	B2Gold Corp
BTI	British American Tobacco Industries
BTN	Ballantyne Strong Inc
BTX	Biotime Inc
BTX.W	BIOTIME INC WTS
BUNL	DB German Bund ETN Powershares
BUNT	DB 3X German Bund ETN Powershares
BVX	Bovie Medical Corp
BWL.A	Bowl Amer Inc Cl A
BWV	CBOE S&P 500 Buywrite Index ETN Ipath
BWX	SPDR Intl Treasury Bond Barclays Capital
BWZ	SPDR S/T Intl Treasury Bond Barclays Capital
BXUB	Long B Leveraged S&P 500 TR ETN Barclays
BXUC	Long C Leveraged S&P 500 TR ETN Barclays
BYLD	Yield Optimized Bond Ishares
BZC	Breeze-Eastern Corp
BZF	Wisdomtree Brazilian Real Fund
BZM	Blackrock Maryland Muni Trust
BZQ	Ultrashort MSCI Brazil Proshares
CAFE	Coffee Pure Beta ETN Ipath
CAK	Camac Energy Inc
CANE	Teucrium Sugar
CANF	Can-Fite Biopharma Ltd Sponsore
CAPE	Barclays ETN Schiller Cape
CAW	CCA Industries
CBND	SPDR Issuer Scd Corp Bond Barclays Capital
CBON	Market Vectors Chinaamc China B
CCA	MFS California Insured Muni Trust
CCF	Chase Corp
CCX	Wisdomtree Commodity Currency Fund
CCXE	Commodity Country Equity Wisdomtree
CEF	Central Fund of Canada
CEFL	Etracs Monthly Pay 2X Leveraged
CEMB	Emrg Mkts Corporate Bond Fund Ishares
CET	Central Securities Corp
CEV	Eaton Vance California Muni Income Trust
CEW	Wisdomtree Emerging Currency Fund
CFD	Nuveen Diversified Commodity Fund
CFP	Cornerstone Progressive Return Fund
CGW	S&P Global Water Index Guggenheim
CH	Aberdeen Chile Fund
CHEP	US Value Fund Market Neutral ETF Quantshares
CHIE	G-X China Energy ETF
CHII	G-X China Industrials ETF
CHIM	G-X China Materials ETF
CHIQ	G-X China Consumer ETF
CHIX	G-X China Financials ETF
CHLC	Renminbi Bond ETF Market Vectors
CHNA	Powershares China A-Share Portf
CHNB	Global X Gf China Bond ETF
CHOC	Cocoa Pure Beta ETN Ipath
CIK	Credit Suisse Asset Management
CIU	Intermediate Credit Bd Ishares
CIX	Compx International Inc
CKX	Ckx Lands
CLM	Cornerstone Strategic Value Fund
CLY	10+ Year Credit Bond Ishares
CMBS	CMBS Bond Ishares
CMD	Ultrashort DJ-UBS Commodity Proshares
CMDT	DOW Jones-UBS Roll Select Ishares
CMF	S&P CA Amt-Free Municipal Bd Ishares
CMT	Core Molding Technologies Inc
CN	DB X-Trackers Harvest MSCI All
CNDA	IQ Canada Smallcap ETF
CNR	China Metro-Rural Holdings
CNXT	Market Vectors Chinaamc Sme-Chn
CNY	RMB/USD ETN Market Vectors
COBO	USD Covered Bond Proshares
COLX	Colombia ETF Market Vectors
COPX	G-X Copper Miners ETF
CORN	Teucrium Corn
CORP	Investment Grade Corp Bd Index ETF Pimco
COVR	Cover-All Technologies Inc
COW	DJ-UBS Livestock TR Sub-Idx ETN Ipath
CPER	US Copper
CPHI	China Pharma Holdings
CPI	IQ Real Return ETF
CQH	Cheniere Energy Partners LP Holdings Llc
CQP	Cheniere Energy Partners LP
CQQQ	China Technology ETF Guggenheim
CRBQ	CRB Global Commodity Equity
CRED	Core US Credit Bond ETF Ishares
CRF	Cornerstone Strategic Return Fund
CRM.W	Salesforce.Com
CRMD	Cormedix Inc
CROC	Ultrashort Australian Proshares
CROP	IQ Global Agribusiness Smallcap ETF
CRUD	Teucrium WTI Crude Oil
CRV	Coast Distribution System
CRVP	Crystal Rock Holdings
CSCB	Credit Suisse Commodity Benchma
CSCR	Credit Suisse Ommodity Rotation
CSD	Spin-Off Guggenheim
CSJ	1-3 Year Credit Bond Ishares
CSLS	Long/Short Liquid Idx ETN Credit Suisse
CSM	Credit Suisse 130/30 Proshares
CSMA	Merger Arbi Liquid Idx ETN Credit Suisse
CSMB	Merger Arbi Liquid 2X Idx ETN Credit Suisse
CSMN	Market Neut Global Eq ETN Credit Suisse
CTF	Nuveen Long/Short Commodity Tot
CTNN	Cotton Pure Beta ETN Ipath
CTO	Consolidated-Tomoka Land Co.
CTP	Ctpartners Executive Search Inc
CUO	Continental Materials Corp
CUPM	Copper Pure Beta ETN Ipath
CUR	Neuralstem
CURE	Healthcare Bull 3X Direxion
CUT	Timber Guggenheim
CVM	Cel-Sci Corp
CVM.W	Cel-Sci Corporation
CVOL	C-Tracks Citi Volatility Index TR ETN
CVR	Chicago Rivet & Machine Co.
CVU	CPI Aerostructures
CVY	Multi Asset Income Guggenheim
CWB	SPDR Convertible Secs Barclays Capital
CWI	SPDR MSCI ACWI [Ex-Us]
CXA	SPDR CA Muni Bd Barclays Capital
CYB	Wisdomtree Chinese Yuan Fund
CZA	Midcap Core Guggenheim
DAG	DB Agriculture Dble Long ETN Powershares
DAKP	Mct Holding Corp.
DBA	Powershares DB Agriculture Fund
DBAP	DB X-Trackers MSCI AC Asia Pacific Ex Japan Hedg
DBAW	DB X-Trackers MSCI All World Ex
DBB	DB Base Metals Powershares
DBBR	DB-X Brazil Hedged Equity MSCI ETF
DBC	DB Commodity Index Tracking Powershares
DBE	DB Energy Powershares
DBEF	DB-X EAFE Hedged Equity MSCI ETF
DBEM	DB-X Emerging Mkts Hdgd Equity MSCI ETF
DBEU	DB X-Trackers MSCI Europe Hedged Equity Fund
DBGR	DB X-Trackers MSCI Germany Hedged Equity Fund
DBIZ	Advisorshares Pring Turner Busi
DBJP	DB-X Japan Hedged Equity MSCI ETF
DBKO	DB X-Trackers MSCI South Korea
DBMX	DB X-Trackers MSCI Mexico Hedge
DBO	DB Oil Powershares
DBP	DB Precious Metals Powershares
DBS	DB Silver Powershares
DBU	Global Ex-US Utilities Wisdomtree
DBUK	DB X-Trackers MSCI United Kingdom Hedged Equity
DBV	DB G10 Currency Harvest Powershares
DCNG	Seasonal Natural Gas ETN Ipath
DDG	Short Oil & Gas Proshares
DDM	Ultra DOW 30 Proshares
DDP	DB Commodity Short ETN Powershares
DEE	DB Commodity Dble Short ETN Powershares
DEF	Defensive Equity Guggenheim
DEFL	DB US Deflation ETN Powershares
DEJ	Dejour Enterprises Ltd
DEM	Emrg Mkts Equity Inc Wisdomtree
DES	Smallcap Dividend Wisdomtree
DEW	Global Equity Income Wisdomtree
DFE	Europe Smallcap Dividend Wisdomtree
DFF	Bank of America Corp
DFJ	Japan Smallcap Dividend Wisdomtree
DFVL	Ipath US Treasury 5 Year Bull E
DFVS	US Trsy 5-Year Bear ETN Ipath
DGAZ	3X Inverse Natural Gas ETN Velocityshares
DGL	DB Gold Powershares
DGP	DB Gold Double Long ETN Powershares
DGRO	Dividend Growth Ishares
DGS	Emrg Mkts Smallcap Div Wisdomtree
DGSE	Dgse Companies Inc. Common Sto
DGT	SPDR Global DOW ETF
DGZ	DB Gold Short ETN Powershares
DHS	Equity Income Wisdomtree
DHY	Credit Suisse High Yield Bond Fund
DI	Pimco Diversified Income Exchan
DIA	SPDR DOW 30 ETF
DIG	Ultra Oil & Gas Proshares
DIM	Intl Midcap Dividend Wisdomtree
DIRT	Agriculture Pure Beta ETN Ipath
DIT	Amcon Distributing Company
DIV	Global X Super Dividend ETF
DIVC	Citigroup Inc. C-Tracks ETN Mil
DIVI	Advisorshares Athena High Divid
DJCI	DJ-UBS Commodity Idx TR ETN UBS E-Tracs
DJP	DJ-UBS Commodity Idx TR ETN Ipath
DLA	Delta Apparel
DLBL	US Trsy Long Bond Bull ETN Ipath
DLBS	US Trsy Long Bond Bear ETN Ipath
DLN	Largecap Dividend Wisdomtree
DLS	Intl Smallcap Dividend Wisdomtree
DMF	Dreyfus Muni Income
DNL	Global Ex-US Growth Wisdomtree
DNN	Denison Mines Corp.
DNO	US Short Oil
